FID IID FA MO SEX AFF PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10
HG00146 HG00146 0 0 0 1 -0.0108 0.0270 0.0116 0.0179 -0.0045 -0.0082 -0.0068 -0.0095 0.0083 0.0546
HG00148 HG00148 0 0 0 1 -0.0112 0.0284 0.0095 0.0162 0.0059 -0.0090 -0.0043 0.0050 -0.0012 0.0449
HG00149 HG00149 0 0 0 1 -0.0101 0.0287 0.0113 0.0183 0.0017 -0.0044 0.0077 -0.0037 -0.0150 0.0228
HG00150 HG00150 0 0 0 1 -0.0113 0.0275 0.0126 0.0162 0.0062 -0.0113 -0.0096 0.0040 0.0132 0.0210
HG00151 HG00151 0 0 0 1 -0.0110 0.0267 0.0120 0.0178 0.0027 -0.0106 -0.0015 -0.0104 -0.0024 0.0316
HG00154 HG00154 0 0 0 1 -0.0106 0.0295 0.0106 0.0192 0.0024 -0.0110 0.0107 -0.0062 -0.0131 0.0319
HG00155 HG00155 0 0 0 1 -0.0112 0.0283 0.0118 0.0149 -0.0035 -0.0134 -0.0026 -0.0112 -0.0149 0.0263
HG00157 HG00157 0 0 0 1 -0.0112 0.0271 0.0113 0.0184 0.0008 -0.0097 -0.0008 -0.0011 -0.0032 0.0323
HG00158 HG00158 0 0 0 1 -0.0106 0.0266 0.0115 0.0148 0.0014 -0.0075 0.0024 -0.0139 -0.0008 0.0422
HG00159 HG00159 0 0 0 1 -0.0105 0.0280 0.0127 0.0181 0.0065 -0.0118 0.0026 -0.0033 -0.0047 0.0608
HG00160 HG00160 0 0 0 1 -0.0109 0.0277 0.0105 0.0188 -0.0022 -0.0140 0.0015 -0.0009 -0.0293 0.0309
HG00171 HG00171 0 0 0 1 -0.0123 0.0222 0.0141 0.0165 0.0290 -0.0826 0.0075 0.0103 0.0056 -0.0341
HG00173 HG00173 0 0 0 1 -0.0117 0.0239 0.0133 0.0159 0.0231 -0.0763 0.0066 0.0132 -0.0057 -0.0595
HG00174 HG00174 0 0 0 1 -0.0121 0.0248 0.0136 0.0161 0.0233 -0.0572 0.0027 0.0012 0.0168 -0.0018
HG00176 HG00176 0 0 0 1 -0.0119 0.0225 0.0164 0.0158 0.0214 -0.0764 0.0015 0.0054 0.0299 -0.0226
HG00177 HG00177 0 0 0 1 -0.0121 0.0231 0.0124 0.0165 0.0289 -0.0737 0.0086 0.0173 0.0080 -0.0482
HG00178 HG00178 0 0 0 1 -0.0114 0.0235 0.0093 0.0175 0.0183 -0.0726 -0.0002 0.0114 -0.0037 -0.0169
HG00179 HG00179 0 0 0 1 -0.0115 0.0237 0.0101 0.0154 0.0203 -0.0792 0.0093 0.0127 0.0110 -0.0182
HG00180 HG00180 0 0 0 1 -0.0116 0.0228 0.0113 0.0157 0.0099 -0.0736 0.0092 0.0123 0.0091 -0.0268
HG00181 HG00181 0 0 0 1 -0.0106 0.0243 0.0092 0.0181 0.0217 -0.0550 0.0015 0.0028 0.0100 -0.0364
HG00182 HG00182 0 0 0 1 -0.0112 0.0229 0.0138 0.0136 0.0270 -0.0812 -0.0098 0.0093 0.0076 -0.0187
HG00183 HG00183 0 0 0 1 -0.0117 0.0236 0.0112 0.0152 0.0254 -0.0768 0.0043 0.0095 0.0173 -0.0175
HG00185 HG00185 0 0 0 1 -0.0120 0.0236 0.0085 0.0171 0.0219 -0.0819 0.0115 0.0144 -0.0006 -0.0303
HG00186 HG00186 0 0 0 1 -0.0115 0.0231 0.0114 0.0153 0.0227 -0.0844 0.0168 0.0078 0.0201 -0.0365
HG00187 HG00187 0 0 0 1 -0.0112 0.0234 0.0134 0.0167 0.0292 -0.0766 0.0114 0.0157 0.0250 -0.0533
HG00188 HG00188 0 0 0 1 -0.0117 0.0243 0.0139 0.0168 0.0232 -0.0741 0.0017 0.0070 0.0202 -0.0318
HG00189 HG00189 0 0 0 1 -0.0124 0.0222 0.0123 0.0192 0.0276 -0.0677 0.0009 0.0059 0.0093 -0.0258
HG00190 HG00190 0 0 0 1 -0.0116 0.0246 0.0131 0.0153 0.0121 -0.0574 -0.0105 -0.0023 -0.0023 -0.0131
HG00231 HG00231 0 0 0 1 -0.0113 0.0277 0.0119 0.0189 -0.0010 0.0057 -0.0107 -0.0104 -0.0125 0.0337
HG00232 HG00232 0 0 0 1 -0.0108 0.0288 0.0088 0.0178 0.0083 -0.0194 0.0011 -0.0005 -0.0090 0.0221
HG00233 HG00233 0 0 0 1 -0.0098 0.0279 0.0117 0.0187 0.0051 -0.0037 -0.0061 -0.0027 -0.0027 0.0330
HG00234 HG00234 0 0 0 1 -0.0099 0.0280 0.0087 0.0199 0.0041 -0.0107 0.0025 -0.0057 -0.0069 0.0329
HG00235 HG00235 0 0 0 1 -0.0109 0.0287 0.0082 0.0185 -0.0023 -0.0115 0.0053 -0.0090 -0.0019 0.0371
HG00236 HG00236 0 0 0 1 -0.0105 0.0289 0.0104 0.0199 0.0047 0.0035 -0.0027 -0.0105 -0.0118 0.0246
HG00237 HG00237 0 0 0 1 -0.0115 0.0269 0.0090 0.0166 0.0060 -0.0129 -0.0121 -0.0027 0.0020 0.0199
HG00238 HG00238 0 0 0 1 -0.0107 0.0279 0.0100 0.0170 -0.0025 -0.0049 0.0002 -0.0046 0.0053 0.0287
HG00239 HG00239 0 0 0 1 -0.0106 0.0280 0.0108 0.0184 0.0012 -0.0126 0.0046 -0.0135 -0.0091 0.0343
HG00242 HG00242 0 0 0 1 -0.0112 0.0288 0.0100 0.0174 0.0003 -0.0081 -0.0038 0.0061 -0.0107 0.0473
HG00243 HG00243 0 0 0 1 -0.0113 0.0280 0.0105 0.0169 0.0029 -0.0142 0.0060 0.0021 -0.0187 0.0423
HG00244 HG00244 0 0 0 1 -0.0108 0.0282 0.0099 0.0174 -0.0006 -0.0113 0.0040 -0.0280 0.0014 0.0313
HG00245 HG00245 0 0 0 1 -0.0111 0.0273 0.0115 0.0184 0.0024 -0.0047 0.0010 0.0071 0.0054 0.0236
HG00246 HG00246 0 0 0 1 -0.0102 0.0265 0.0111 0.0191 -0.0005 -0.0063 0.0016 0.0027 0.0056 0.0305
HG00250 HG00250 0 0 0 1 -0.0112 0.0276 0.0108 0.0176 0.0043 -0.0121 -0.0040 -0.0084 -0.0099 0.0583
HG00251 HG00251 0 0 0 1 -0.0113 0.0271 0.0099 0.0174 -0.0000 -0.0057 0.0035 -0.0023 -0.0034 0.0366
HG00252 HG00252 0 0 0 1 -0.0117 0.0275 0.0115 0.0196 0.0036 -0.0095 0.0023 -0.0070 0.0084 0.0189
HG00253 HG00253 0 0 0 1 -0.0117 0.0277 0.0102 0.0164 0.0012 -0.0058 0.0014 -0.0091 -0.0161 0.0283
HG00254 HG00254 0 0 0 1 -0.0106 0.0274 0.0116 0.0183 -0.0087 -0.0125 0.0044 -0.0028 0.0177 0.0390
HG00255 HG00255 0 0 0 1 -0.0107 0.0279 0.0107 0.0194 -0.0046 -0.0109 0.0116 -0.0021 0.0108 0.0501
HG00256 HG00256 0 0 0 1 -0.0115 0.0283 0.0100 0.0173 0.0042 -0.0001 0.0069 0.0029 0.0050 0.0180
HG00257 HG00257 0 0 0 1 -0.0109 0.0277 0.0078 0.0165 0.0015 -0.0175 0.0025 -0.0003 -0.0120 0.0187
HG00258 HG00258 0 0 0 1 -0.0107 0.0262 0.0092 0.0218 -0.0012 -0.0209 -0.0076 -0.0005 -0.0179 0.0043
HG00259 HG00259 0 0 0 1 -0.0113 0.0280 0.0095 0.0166 0.0006 -0.0030 -0.0044 -0.0057 -0.0149 0.0568
HG00260 HG00260 0 0 0 1 -0.0106 0.0286 0.0119 0.0191 0.0113 -0.0069 0.0037 -0.0056 -0.0141 0.0055
HG00261 HG00261 0 0 0 1 -0.0106 0.0281 0.0104 0.0179 -0.0030 -0.0065 -0.0098 0.0011 0.0052 0.0379
HG00262 HG00262 0 0 0 1 -0.0112 0.0283 0.0105 0.0185 -0.0019 -0.0112 -0.0079 -0.0073 -0.0073 0.0506
HG00263 HG00263 0 0 0 1 -0.0112 0.0287 0.0074 0.0186 -0.0004 -0.0035 -0.0081 -0.0045 0.0130 0.0458
HG00264 HG00264 0 0 0 1 -0.0109 0.0274 0.0127 0.0167 0.0006 -0.0052 0.0089 -0.0022 -0.0001 0.0310
HG00265 HG00265 0 0 0 1 -0.0105 0.0278 0.0117 0.0198 -0.0011 -0.0068 0.0028 0.0075 0.0001 0.0395
HG00266 HG00266 0 0 0 1 -0.0109 0.0240 0.0110 0.0173 0.0131 -0.0751 0.0044 0.0148 -0.0048 -0.0323
HG00267 HG00267 0 0 0 1 -0.0114 0.0240 0.0094 0.0156 0.0243 -0.0866 -0.0009 0.0141 0.0334 -0.0110
HG00268 HG00268 0 0 0 1 -0.0113 0.0246 0.0096 0.0158 0.0148 -0.0734 0.0100 0.0030 0.0008 -0.0174
HG00269 HG00269 0 0 0 1 -0.0117 0.0241 0.0107 0.0147 0.0207 -0.0889 -0.0068 0.0174 0.0088 -0.0465
HG00271 HG00271 0 0 0 1 -0.0113 0.0210 0.0096 0.0167 0.0217 -0.1054 0.0065 0.0033 0.0151 -0.0399
HG00272 HG00272 0 0 0 1 -0.0115 0.0225 0.0111 0.0163 0.0218 -0.0888 0.0108 0.0154 0.0228 -0.0328
HG00273 HG00273 0 0 0 1 -0.0115 0.0235 0.0106 0.0170 0.0254 -0.0578 0.0111 0.0071 0.0165 -0.0124
HG00274 HG00274 0 0 0 1 -0.0115 0.0249 0.0115 0.0205 0.0184 -0.0781 0.0084 0.0126 0.0020 -0.0243
HG00275 HG00275 0 0 0 1 -0.0109 0.0245 0.0111 0.0186 0.0156 -0.0665 0.0096 0.0033 0.0182 -0.0330
HG00276 HG00276 0 0 0 1 -0.0118 0.0230 0.0131 0.0157 0.0294 -0.0726 0.0038 0.0110 0.0109 -0.0344
HG00277 HG00277 0 0 0 1 -0.0121 0.0258 0.0099 0.0186 0.0035 -0.0616 0.0014 0.0033 0.0148 -0.0079
HG00278 HG00278 0 0 0 1 -0.0112 0.0241 0.0108 0.0158 0.0168 -0.0787 0.0071 -0.0026 0.0139 -0.0430
HG00280 HG00280 0 0 0 1 -0.0117 0.0236 0.0121 0.0185 0.0182 -0.0842 0.0097 0.0123 0.0063 -0.0469
HG00281 HG00281 0 0 0 1 -0.0121 0.0246 0.0139 0.0164 0.0190 -0.0759 0.0042 0.0054 0.0121 -0.0446
HG00282 HG00282 0 0 0 1 -0.0112 0.0230 0.0117 0.0160 0.0304 -0.0825 0.0047 0.0031 0.0185 -0.0215
HG00284 HG00284 0 0 0 1 -0.0128 0.0243 0.0125 0.0208 0.0187 -0.0774 -0.0009 0.0217 0.0089 -0.0096
HG00285 HG00285 0 0 0 1 -0.0117 0.0234 0.0113 0.0185 0.0188 -0.0915 0.0047 0.0110 -0.0074 -0.0217
HG00288 HG00288 0 0 0 1 -0.0122 0.0242 0.0097 0.0115 0.0269 -0.0860 0.0015 0.0212 0.0121 -0.0391
