FID IID FA MO SEX AFF PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10
HG00146 HG00146 0 0 0 1 0.0113 -0.0279 0.0105 0.0208 0.0048 -0.0086 0.0023 0.0006 -0.0016 -0.0115
HG00148 HG00148 0 0 0 1 0.0110 -0.0279 0.0097 0.0193 -0.0003 -0.0111 0.0034 0.0028 -0.0027 -0.0072
HG00149 HG00149 0 0 0 1 0.0108 -0.0282 0.0109 0.0201 -0.0003 -0.0113 -0.0010 0.0001 -0.0110 -0.0028
HG00150 HG00150 0 0 0 1 0.0111 -0.0273 0.0103 0.0188 -0.0012 -0.0117 0.0035 0.0047 -0.0033 -0.0093
HG00151 HG00151 0 0 0 1 0.0112 -0.0268 0.0101 0.0178 -0.0012 -0.0149 0.0013 -0.0030 -0.0001 -0.0060
HG00154 HG00154 0 0 0 1 0.0108 -0.0287 0.0099 0.0194 -0.0038 -0.0075 0.0009 -0.0005 -0.0074 -0.0065
HG00155 HG00155 0 0 0 1 0.0113 -0.0274 0.0101 0.0175 0.0005 -0.0094 -0.0011 0.0071 -0.0069 -0.0132
HG00157 HG00157 0 0 0 1 0.0109 -0.0269 0.0109 0.0202 -0.0028 -0.0154 -0.0005 0.0040 -0.0006 -0.0094
HG00158 HG00158 0 0 0 1 0.0111 -0.0262 0.0108 0.0162 -0.0010 -0.0088 -0.0014 0.0017 -0.0071 -0.0032
HG00159 HG00159 0 0 0 1 0.0109 -0.0278 0.0099 0.0193 -0.0012 -0.0077 0.0002 0.0049 -0.0096 0.0039
HG00160 HG00160 0 0 0 1 0.0111 -0.0279 0.0106 0.0191 -0.0016 -0.0113 -0.0004 0.0030 -0.0092 -0.0105
HG00171 HG00171 0 0 0 1 0.0123 -0.0230 0.0125 0.0169 -0.0220 -0.0901 0.0004 -0.0097 0.0026 0.0021
HG00173 HG00173 0 0 0 1 0.0120 -0.0235 0.0116 0.0163 -0.0171 -0.0817 0.0030 -0.0113 0.0062 0.0146
HG00174 HG00174 0 0 0 1 0.0117 -0.0248 0.0117 0.0180 -0.0147 -0.0621 0.0032 -0.0069 0.0059 0.0067
HG00176 HG00176 0 0 0 1 0.0119 -0.0230 0.0117 0.0172 -0.0183 -0.0791 0.0031 -0.0146 0.0108 0.0060
HG00177 HG00177 0 0 0 1 0.0120 -0.0219 0.0118 0.0160 -0.0220 -0.0827 0.0024 -0.0120 0.0059 0.0182
HG00178 HG00178 0 0 0 1 0.0118 -0.0239 0.0109 0.0181 -0.0201 -0.0727 0.0006 -0.0052 0.0075 0.0076
HG00179 HG00179 0 0 0 1 0.0118 -0.0229 0.0106 0.0166 -0.0174 -0.0790 0.0007 -0.0126 0.0121 0.0031
HG00180 HG00180 0 0 0 1 0.0117 -0.0234 0.0106 0.0170 -0.0147 -0.0747 0.0028 -0.0092 0.0010 0.0112
